#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
2097	EPIC201677835 	4747	 4.40	-0.13	  0.92	-4.32	 2.9	 2.4	 1.6	  10.2	 34	 0.04	 0.04	 1	-0.10	11 44 30.0	+03 16 21	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2098	HD 4917       	4802	 2.97	 0.17	  0.12	-5.33	 4.2	 1.1	 4.0	 -12.5	269	 0.01	 0.02	 1	 0.24	00 51 06.3	-12 55 39	 8.03	134.41	 1.08	 0.10	 5.01	 0.58	  0.86	  0.22	 1.32	 3.16	 0.09	 4.5	  1	Simbad
2099	HD 4741       	5396	 4.46	-0.03	  0.28	-4.66	 3.7	 2.7	 2.4	  10.1	375	 0.01	 0.01	 1	 0.00	00 51 50.0	+78 37 33	 8.45	 40.44	-0.21	 0.03	 0.90	 0.04	  0.85	  0.12	 0.90	 4.49	 0.04	 7.6	  1	Simbad
2100	HTR187-001    	4854	 4.49	-0.16	  0.23	-4.65	 2.3	 1.4	 1.7	  -0.8	 84	 0.02	 0.02	 1	-0.17	13 17 27.6	+36 40 40	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2101	HTR188-002    	6046	 4.30	-0.07	  0.17	-4.91	 4.9	 0.1	 5.0	  -2.8	150	 0.01	 0.01	 1	-0.06	13 41 33.6	+33 45 49	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2102	HTR188-001    	5830	 4.31	-0.23	  0.18	-4.86	 4.4	 2.1	 3.7	 -19.4	 98	 0.04	 0.03	 1	-0.24	13 42 14.6	+40 35 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2103	HTR145-001    	5083	 4.40	 0.31	  0.20	     	 3.1	 2.4	 1.9	 -24.2	154	 0.01	 0.02	 1	 0.34	13 44 23.3	+48 01 31	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2104	HD 5319       	4871	 3.26	 0.13	  0.12	-5.28	 3.8	 1.5	 3.4	   0.3	267	 0.01	 0.02	 4	 0.16	00 55 01.4	+00 47 22	 8.05	114.42	 0.92	 0.09	 4.06	 0.42	  1.10	  0.26	 1.27	 3.33	 0.09	 5.0	  1	Simbad
2105	HATS568-008   	4929	 4.49	 0.19	  0.20	-4.97	 2.2	 1.2	 1.7	   8.3	 93	 0.02	 0.02	 1	 0.21	13 55 25.5	-21 12 28	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2106	HTR376-001    	5039	 4.45	 0.08	  0.18	     	 2.2	 0.8	 1.8	  12.9	155	 0.01	 0.02	 1	 0.05	14 12 35.4	+04 03 24	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2107	HTR146-002    	5277	 4.39	 0.33	  0.13	-5.18	 2.9	 1.8	 2.2	 -34.7	 84	 0.02	 0.02	 1	 0.34	14 12 35.6	+47 00 50	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2108	HTR189-001    	4849	 3.50	 0.20	  0.16	-4.96	 3.2	 0.1	 3.4	 -15.1	235	 0.01	 0.02	 1	 0.23	14 13 47.9	+38 46 54	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2109	HD 5608       	4877	 3.19	 0.17	  0.10	-5.39	 3.8	 1.5	 3.4	 -23.6	290	 0.01	 0.02	 1	 0.22	00 58 14.2	+33 57 03	 5.99	 56.37	 1.13	 0.03	 5.14	 0.19	  1.48	  0.21	 1.53	 3.19	 0.05	 2.8	  1	Simbad
2110	HTR378-001    	5231	 4.41	 0.27	  0.21	-4.87	 3.5	 2.7	 2.1	 -16.6	146	 0.01	 0.02	 1	 0.30	14 51 02.2	+05 56 39	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2111	HD 5873       	4893	 3.30	 0.22	  0.12	-5.34	 3.8	 1.4	 3.4	 -15.9	277	 0.01	 0.02	 1	 0.26	01 00 21.2	+17 13 35	 7.25	 86.28	 0.99	 0.07	 4.36	 0.35	  1.39	  0.28	 1.48	 3.33	 0.07	 3.2	  1	Simbad
2112	HD 5946       	5643	 4.11	 0.33	  0.17	-4.97	 3.7	 2.1	 3.0	  -2.5	351	 0.01	 0.01	 1	 0.33	01 01 05.5	+08 46 10	 8.94	 86.36	 0.23	 0.09	 1.36	 0.15	  0.87	  0.22	 1.11	 4.23	 0.10	 5.7	  1	Simbad
2113	HTR191-001    	5906	 4.13	 0.27	  0.15	     	 7.3	 5.6	 4.1	  -2.2	171	 0.01	 0.01	 2	 0.30	15 19 58.9	+36 13 45	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2114	HD 6019       	5020	 3.08	-0.36	  0.16	-5.07	 4.2	 2.2	 3.4	 -25.3	255	 0.01	 0.01	 1	-0.35	01 01 39.6	+07 18 19	 7.75	134.05	 1.15	 0.10	 4.98	 0.58	  1.08	  0.28	 1.12	 3.10	 0.09	 5.9	  1	Simbad
2115	HD 6030       	4926	 3.26	 0.03	  0.14	-5.19	 3.7	 1.3	 3.4	 -21.0	261	 0.01	 0.02	 1	 0.07	01 01 42.9	+09 44 46	 7.83	110.13	 0.97	 0.10	 4.18	 0.49	  1.15	  0.30	 1.30	 3.32	 0.09	 4.3	  1	Simbad
2117	HD 140538 A   	5674	 4.50	 0.03	  0.18	-4.89	 3.5	 1.2	 3.1	  18.2	283	 0.01	 0.01	 5	 0.04	15 44 01.8	+02 30 53	 5.86	 14.66	-0.08	 0.02	 0.95	 0.03	  1.02	  0.14	 1.01	 4.48	 0.03	 2.7	  0	Simbad
2118	EPIC203826436 	5352	 4.53	-0.08	  0.19	     	 2.7	 1.3	 2.3	  -3.2	 92	 0.02	 0.02	 2	-0.08	16 13 48.2	-24 47 13	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2119	EPIC204890128 	5217	 4.47	-0.10	  0.18	     	 2.3	 0.8	 2.1	  41.1	 55	 0.02	 0.02	 1	-0.10	16 16 32.7	-20 24 09	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2120	HTR333-003    	6641	 3.71	 0.07	  0.14	-5.10	17.1	 6.1	16.4	 -52.0	162	 0.02	 0.03	 1	 0.18	16 26 26.8	+17 08 26	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2121	HTR285-001    	5916	 4.16	 0.28	  0.14	-5.11	 5.6	 3.5	 4.2	 -61.0	152	 0.01	 0.01	 1	 0.30	16 27 25.3	+21 37 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2122	HD 6512       	5871	 4.38	 0.17	  0.16	-4.98	 4.2	 1.4	 3.9	  10.4	251	 0.01	 0.01	 2	 0.18	01 06 12.6	+13 15 10	 8.15	 51.05	 0.07	 0.04	 1.05	 0.05	  0.96	  0.15	 1.11	 4.43	 0.03	 1.7	  1	Simbad
2123	HD 6628       	4803	 3.01	-0.31	  1.18	-4.02	16.1	13.7	 3.4	  18.3	257	 0.01	 0.02	 1	-0.22	01 06 49.0	-22 51 21	 7.77	113.38	 1.04	 0.08	 4.76	 0.43	  0.84	  0.18	 0.95	 3.04	 0.08	12.1	  1	Simbad
2124	EPIC203753577 	6280	 4.06	 0.28	  0.14	-5.11	 8.8	 4.7	 7.0	 -40.0	 50	 0.02	 0.03	 1	 0.31	16 51 26.8	-25 03 12	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2125	HD 6715       	5624	 4.48	-0.18	  0.18	-4.92	 3.3	 1.1	 2.9	 -24.0	346	 0.01	 0.01	 1	-0.21	01 08 12.5	+21 58 37	 7.61	 33.52	-0.05	 0.03	 0.99	 0.03	  1.09	  0.15	 0.91	 4.41	 0.04	 9.1	  1	Simbad
2126	GJ 53         	5316	 4.66	-0.73	  0.22	-4.81	 2.2	 0.1	 2.2	 -97.1	247	 0.01	 0.01	 3	-0.84	01 08 16.4	+54 55 13	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2127	HTR239-004    	4780	 4.48	 0.11	  0.39	-4.63	 2.5	 1.8	 1.6	 -11.7	123	 0.02	 0.03	 1	 0.18	17 05 22.1	+33 00 46	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2128	HTR239-008    	5901	 4.28	 0.17	  0.17	-4.94	 4.7	 2.1	 4.1	  42.8	142	 0.01	 0.01	 1	 0.17	17 16 53.3	+26 44 38	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2129	HTR194-006    	5780	 4.56	-0.25	  0.22	-4.92	 4.0	 1.7	 3.5	 -17.9	151	 0.01	 0.01	 1	-0.26	17 18 03.6	+40 05 31	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2130	HTR195-003    	6478	 4.00	 0.01	  0.17	-4.90	10.8	 2.4	10.6	 -20.6	234	 0.01	 0.01	 2	 0.06	17 20 27.9	+38 14 31	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2131	HTR431-010    	4884	 3.23	-0.33	  0.12	-5.26	 3.5	 0.0	 3.4	 163.9	146	 0.01	 0.02	 1	-0.42	17 29 14.1	+00 45 23	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2132	HTR240-003    	5969	 4.41	 0.04	  0.17	-4.94	 5.5	 3.1	 4.5	 -27.6	102	 0.01	 0.02	 2	 0.07	17 46 43.6	+29 46 09	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2133	HTR241-006    	5959	 3.89	 0.23	  0.15	-5.04	14.2	11.3	 5.2	  -3.7	149	 0.01	 0.01	 1	 0.29	17 54 01.6	+32 21 14	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2134	HTR432-011    	6153	 4.23	 0.29	  0.13	-5.25	 7.0	 3.7	 5.8	 -21.9	 80	 0.02	 0.02	 1	 0.32	18 01 45.9	-02 58 20	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2135	HTR152-001    	6466	 4.31	-0.28	  0.17	     	14.4	 9.8	 9.5	   3.7	116	 0.01	 0.02	 1	-0.27	18 02 20.6	+47 29 20	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2136	HTR196-004    	5824	 4.38	 0.01	  0.17	-5.02	 3.5	 0.1	 3.7	 -52.1	164	 0.01	 0.01	 1	 0.00	18 03 58.7	+33 59 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2137	HTR241-007    	5979	 4.13	 0.11	  0.13	     	 4.8	 1.3	 4.5	  -3.3	119	 0.01	 0.02	 1	 0.12	18 06 07.8	+26 25 30	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2138	HTR433-003    	6292	 4.29	 0.01	  0.12	-5.29	11.5	 8.0	 7.2	  17.5	108	 0.02	 0.02	 2	 0.04	18 17 29.3	-03 22 53	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2139	HTR114-009    	5876	 3.99	-0.17	  0.12	-5.39	 4.9	 0.6	 4.8	  -1.1	143	 0.01	 0.01	 1	-0.17	18 30 07.8	+50 05 06	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2140	KIC-7866914   	5852	 4.55	-0.24	  0.11	-5.47	 5.4	 3.6	 3.8	 -12.7	 48	 0.02	 0.03	 1	-0.25	18 39 24.6	+43 39 47	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2141	KIC-8073705   	6096	 4.29	-0.09	  0.13	-5.22	 4.8	 0.1	 5.3	 -20.0	 49	 0.02	 0.02	 1	-0.08	18 40 59.6	+43 54 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2142	KOI-6883      	5446	 4.39	-0.03	  0.20	-4.86	 3.0	 1.6	 2.5	  10.0	 24	 0.06	 0.06	 1	-0.05	18 41 49.8	+43 08 32	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2143	KIC-10644253  	6048	 4.38	 0.13	  0.19	-4.79	 4.2	 0.1	 5.0	 -17.9	112	 0.01	 0.01	 1	 0.15	18 43 42.3	+47 56 19	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2144	KIC-7799349   	4995	 3.60	 0.35	  0.13	-5.22	 3.9	 1.7	 3.4	 -15.6	 58	 0.02	 0.03	 1	 0.37	18 44 12.4	+43 32 10	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2145	KIC-8408982   	5714	 4.52	 0.03	  0.27	-4.60	 4.2	 2.6	 3.3	   2.4	 32	 0.04	 0.04	 2	 0.06	18 44 17.1	+44 27 17	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2146	KIC-8006161   	5342	 4.40	 0.31	  0.16	-5.02	 3.4	 2.5	 2.3	 -43.9	 62	 0.02	 0.02	 1	 0.31	18 44 34.6	+43 50 07	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2147	KIC-10709834  	6511	 4.03	 0.06	  0.15	-5.02	11.8	 5.7	10.2	 -17.5	 50	 0.02	 0.03	 1	 0.13	18 45 47.3	+48 05 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2148	KIC-7174707   	5254	 3.85	 0.06	  0.14	-5.12	 3.6	 0.1	 3.6	   1.2	117	 0.01	 0.01	 1	 0.08	18 46 34.1	+42 45 26	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2149	KIC-10319590  	5771	 4.35	 0.18	  0.31	-4.51	 4.1	 2.1	 3.5	 -31.7	 28	 0.05	 0.09	 1	 0.20	18 46 50.6	+47 24 48	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2150	HD 7530       	4951	 3.25	-0.25	  0.14	-5.18	 3.8	 1.5	 3.4	  54.3	254	 0.01	 0.01	 1	-0.24	01 15 08.0	-22 53 58	 8.30	156.74	 1.08	 0.18	 4.71	 0.99	  1.42	  0.62	 1.06	 3.13	 0.14	 7.4	  1	Simbad
2151	KIC-9812850   	6301	 3.99	-0.06	  0.14	-5.12	13.9	 9.8	 8.4	  32.3	109	 0.01	 0.02	 1	-0.03	18 47 38.8	+46 41 04	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2152	KIC-9446742   	5098	 3.65	 0.15	  1.29	-4.01	 6.2	 5.0	 3.5	 -30.6	 37	 0.03	 0.04	 1	 0.25	18 48 31.2	+46 01 47	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2153	KIC-8410697   	5659	 4.39	-0.07	  0.20	     	 2.9	 0.3	 3.1	 -74.6	 66	 0.03	 0.02	 2	-0.12	18 48 44.6	+44 25 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2154	KIC-7093428   	6427	 4.24	 0.09	  0.12	-5.29	 7.7	 0.1	 8.9	 -45.6	 27	 0.04	 0.05	 1	 0.08	18 49 26.2	+42 38 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2155	KIC-7584900   	4785	 3.32	 0.32	  0.17	-5.10	 3.8	 1.6	 3.4	  41.5	 57	 0.02	 0.03	 1	 0.38	18 49 33.4	+43 17 06	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2156	KIC-10516096  	5960	 4.15	-0.04	  0.13	-5.23	 5.4	 2.9	 4.4	   3.0	110	 0.01	 0.01	 1	-0.04	18 49 33.7	+47 42 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2157	KIC-9447166   	4805	 4.50	 0.25	  0.18	-5.07	 1.9	 0.6	 1.6	  23.2	 49	 0.16	 0.06	 1	 0.28	18 49 42.0	+46 00 48	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2158	KIC-5596656   	5077	 3.62	-0.38	  0.14	-5.16	 3.8	 1.5	 3.5	 -23.4	 54	 0.02	 0.10	 1	-0.39	18 51 16.3	+40 51 25	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2159	KIC-7871531   	5438	 4.44	-0.26	  0.17	-5.00	 3.1	 1.7	 2.5	 -20.7	148	 0.01	 0.01	 2	-0.27	18 51 39.3	+43 38 04	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2160	KIC-8280511   	5476	 4.54	-0.24	  0.14	-5.13	 2.8	 0.9	 2.5	   8.7	 50	 0.02	 0.02	 1	-0.27	18 52 00.9	+44 17 02	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2161	KIC-7940546   	6213	 3.94	-0.09	  0.12	-5.34	10.5	 6.9	 7.3	  -3.7	172	 0.01	 0.01	 1	-0.05	18 52 17.2	+43 42 35	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2162	HTR114-006    	6614	 4.11	 0.05	  0.15	-5.01	17.5	11.2	12.2	   3.0	109	 0.01	 0.02	 1	 0.11	18 52 40.0	+48 53 52	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2163	KOI-284 W     	5899	 4.27	-0.22	  0.13	-5.23	 5.3	 3.1	 4.1	 -29.0	 36	 0.03	 0.03	 1	-0.23	18 52 55.8	+41 20 29	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2164	KOI-284 E     	5861	 4.39	-0.23	  0.12	-5.37	 4.2	 1.2	 3.9	 -31.0	 37	 0.03	 0.03	 1	-0.24	18 52 55.9	+41 20 29	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2165	KIC-7941200   	5938	 4.43	 0.09	  0.14	-5.11	 4.7	 1.8	 4.3	 -36.0	 49	 0.02	 0.02	 1	 0.11	18 53 29.4	+43 47 18	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2166	HD 7510       	5478	 3.86	 0.15	  0.17	-4.98	 4.0	 1.1	 3.8	 -34.9	352	 0.01	 0.01	 1	 0.16	01 15 41.2	+34 43 33	 7.63	 63.29	 0.49	 0.05	 1.96	 0.13	  1.02	  0.18	 1.17	 3.92	 0.04	 6.7	  1	Simbad
2168	KIC-9139151   	6047	 4.30	 0.10	  0.15	-5.06	 6.5	 3.8	 5.0	 -27.3	110	 0.01	 0.01	 1	 0.12	18 56 20.9	+45 30 49	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2169	KIC-9139163   	6378	 4.20	 0.18	  0.13	-5.26	 6.2	 0.1	 8.2	 -28.1	 59	 0.02	 0.02	 1	 0.21	18 56 22.1	+45 30 25	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2170	KIC-10454113  	6164	 4.26	 0.02	  0.15	-5.06	 7.7	 4.7	 5.9	 -22.3	 52	 0.02	 0.02	 1	 0.05	18 56 36.7	+47 39 26	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2171	KIC-11390058  	5919	 4.48	-0.12	  0.21	-4.74	 5.4	 3.2	 4.2	 -21.8	 31	 0.04	 0.04	 2	-0.09	18 56 45.9	+49 17 29	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2172	KIC-6185331   	5672	 4.16	 0.11	  0.08	     	 3.3	 0.9	 3.1	 -18.9	 48	 0.02	 0.03	 1	 0.10	18 57 05.5	+41 31 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2173	KIC-8479655   	6078	 4.48	 0.05	  0.25	-4.58	 7.6	 5.0	 5.2	 -30.1	 33	 0.05	 0.05	 2	 0.01	18 57 43.2	+44 35 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2174	KIC-11071278  	6056	 3.97	 0.03	  0.11	     	14.4	11.5	 5.7	   5.9	 35	 0.03	 0.04	 7	 0.07	18 57 51.6	+48 39 10	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2175	KIC-9073950   	4989	 3.37	-0.04	  0.10	-5.39	 4.0	 1.9	 3.4	 -58.3	 53	 0.02	 0.03	 1	-0.02	18 58 11.6	+45 29 52	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2177	KIC-6503434   	5975	 4.05	-0.06	  0.13	-5.30	 8.6	 6.6	 4.5	 -22.4	 34	 0.04	 0.05	 2	-0.03	18 58 29.7	+41 55 07	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2178	KIC-8012732   	5846	 4.21	 0.12	  0.10	-5.71	 4.6	 2.4	 3.8	 -23.5	 54	 0.02	 0.03	 1	 0.11	18 58 55.4	+43 51 53	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2179	KIC-9635606   	4868	 4.51	 0.05	  1.02	-4.22	 2.9	 2.3	 1.7	 -32.3	 41	 0.03	 0.04	 1	 0.12	18 58 59.6	+46 22 34	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2180	KIC-9574283   	5153	 3.69	-0.32	  0.13	-5.21	 3.3	 0.1	 3.5	 -15.9	 51	 0.02	 0.02	 1	-0.34	18 59 09.8	+46 17 05	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2181	KIC-8150065   	6091	 4.15	 0.04	  0.13	-5.21	 5.8	 2.2	 5.3	 -46.9	109	 0.01	 0.02	 1	 0.05	19 00 06.4	+44 01 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2182	KOI-5932      	5460	 4.03	-0.19	  0.19	-4.90	 3.3	 1.9	 2.5	 -71.0	 21	 0.07	 0.07	 1	-0.17	19 01 21.1	+50 03 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2183	KOI-5622      	5202	 4.47	 0.01	  0.22	-4.85	 2.0	 0.1	 2.0	  -3.6	 24	 0.05	 0.06	 1	-0.04	19 01 23.8	+45 33 22	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2184	KIC-3526481   	5486	 3.97	 0.15	  0.38	-4.46	 9.3	 7.8	 3.8	 -22.9	 29	 0.05	 0.04	 1	 0.20	19 01 30.6	+38 38 21	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2185	KIC-6187639   	5227	 4.13	-0.04	  0.38	-4.54	 7.0	 6.4	 2.1	 -21.1	 29	 0.12	 0.05	 1	 0.09	19 01 34.4	+41 30 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2186	KIC-6106415   	5987	 4.23	-0.02	  0.14	-5.17	 5.7	 3.2	 4.6	 -12.9	 67	 0.02	 0.02	 1	 0.00	19 01 39.6	+41 29 24	     	      	     	     	     	     	      	      	     	     	     	    	  1	Simbad
2187	KIC-5773345   	6139	 4.00	 0.29	  0.12	-5.29	 6.8	 2.1	 6.5	 -30.4	110	 0.01	 0.02	 1	 0.33	19 01 45.0	+41 04 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2188	KIC-8938364   	5763	 4.29	-0.12	  0.17	-4.93	 4.0	 1.8	 3.4	 -66.7	 52	 0.02	 0.02	 1	-0.18	19 02 10.0	+45 16 45	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2189	KIC-11179629  	5639	 4.52	 0.09	  0.33	-4.51	 5.8	 4.8	 3.0	 -30.0	 78	 0.02	 0.02	 2	 0.13	19 02 18.0	+48 49 40	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2190	KIC-5431016   	6483	 3.90	-0.05	  0.16	-4.95	 8.0	 0.1	11.7	  -5.4	106	 0.01	 0.02	 1	-0.01	19 02 21.1	+40 36 20	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2191	KIC-11126267  	5352	 4.51	-0.22	  0.15	-5.08	 2.4	 0.1	 2.3	   8.7	 29	 0.04	 0.04	 1	-0.25	19 02 23.3	+48 43 18	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2192	KOI-7345      	5719	 4.38	-0.10	  0.13	-5.27	 3.6	 1.4	 3.3	  27.8	 26	 0.05	 0.05	 1	-0.10	19 02 33.8	+47 48 40	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2193	KIC-11392618  	5746	 4.17	 0.02	  0.12	-5.37	 4.1	 2.2	 3.4	   5.3	 85	 0.01	 0.02	 2	-0.01	19 03 37.4	+49 17 15	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
